"","230"
"1990",-1.41355075446571
"1991",0.428896442188034
"1992",0.0424742331337953
"1993",0.89638103808479
"1994",0.120561351591739
"1995",-2.88906602336709
"1996",-0.832901368393451
"1997",2.73963459014094
"1998",2.85528101642392
"1999",-2.38978813580841
"2000",-2.35865243259364
"2001",-8.04041342973662
"2002",-12.7132392499708
"2003",-17.9440233578251
"2004",-22.9858056456575
"2005",-28.6294379859038
"2006",-33.3134904030345
"2007",-39.4687382014221
"2008",-39.4326228923768
"2009",-40.4417099893492
"2010",-50.2328754232661
